ID,Country,Population,Target Merchants,Average Age,Phase,Total Launch Requirement
1,China,1439323776,438994,38,Contact Us,"$102,699,450 "
2,India,1380004385,241501,28,Live,"$60,998,694 "
3,United States,331002651,137366,38,Groundwork,"$51,982,808 "
6,Brazil,212559417,93526,33,Contact Us,"$20,787,227 "
11,Japan,126476461,58179,48,Contact Us,"$18,354,189 "
4,Indonesia,273523615,76587,30,Contact Us,"$16,488,096 "
9,Russia,145934462,53996,40,Contact Us,"$14,335,745 "
10,Mexico,128932753,54152,29,Contact Us,"$12,773,597 "
19,Germany,83783942,31838,46,Contact Us,"$10,944,257 "
7,Nigeria,206139589,53596,18,Contact Us,"$10,093,601 "
21,United Kingdom,67886011,28173,40,Live,"$9,061,369 "
22,France,65273511,26762,42,Contact Us,"$8,653,043 "
17,Turkey,84339067,32049,32,Contact Us,"$8,385,596 "
5,Pakistan,220892340,38656,23,Contact Us,"$7,264,826 "
18,Iran,83992949,31917,32,Contact Us,"$7,192,260 "
28,South Korea,51269185,21020,44,Contact Us,"$6,672,787 "
23,Italy,60461826,20859,47,Contact Us,"$6,297,747 "
8,Bangladesh,164689383,32114,28,Contact Us,"$5,980,557 "
30,Spain,46754778,18702,45,Contact Us,"$5,741,471 "
13,Philippines,109581078,25752,26,Contact Us,"$5,177,621 "
41,Saudi Arabia,34813871,14622,32,Contact Us,"$5,168,904 "
39,Canada,37742154,15286,41,Contact Us,"$5,161,998 "
25,South Africa,59308690,19868,28,Groundwork,"$5,073,462 "
32,Argentina,45195774,21016,32,Contact Us,"$4,892,965 "
14,Egypt,102334404,22002,25,Contact Us,"$4,757,373 "
29,Colombia,50882891,20353,31,Contact Us,"$4,498,730 "
20,Thailand,69799978,17799,40,Contact Us,"$4,230,309 "
55,Australia,25499884,10965,38,Groundwork,"$3,831,553 "
15,Vietnam,97338579,18494,32,Contact Us,"$3,640,683 "
45,Malaysia,32365999,12623,30,Contact Us,"$3,558,319 "
16,DR Congo,89561403,20599,17,Contact Us,"$3,538,758 "
33,Algeria,43851044,16006,29,Contact Us,"$3,536,518 "
57,Taiwan,23816775,9408,42,Contact Us,"$3,380,253 "
36,Iraq,40222493,14681,21,Contact Us,"$3,373,614 "
38,Poland,37846611,11354,42,Contact Us,"$3,248,829 "
35,Ukraine,43733762,15088,41,Contact Us,"$3,044,688 "
43,Peru,32971854,13024,31,Contact Us,"$2,854,969 "
40,Morocco,36910560,11811,30,Contact Us,"$2,370,425 "
12,Ethiopia,114963588,12071,19,Contact Us,"$2,146,818 "
44,Angola,32866272,11010,17,Contact Us,"$2,105,843 "
42,Uzbekistan,33469203,8367,28,Contact Us,"$2,091,825 "
63,Chile,19116201,8124,35,Contact Us,"$2,031,096 "
54,North Korea,25778816,8120,35,Contact Us,NA
24,Tanzania,59734218,11051,18,Contact Us,"$2,000,412 "
69,Netherlands,17134872,7882,43,Contact Us,"$1,970,510 "
34,Sudan,43849260,7674,20,Contact Us,"$1,918,405 "
27,Kenya,53771296,7528,20,Contact Us,"$1,881,995 "
52,Cameroon,26545863,7433,19,Contact Us,"$1,858,210 "
47,Ghana,31072940,8856,22,Contact Us,"$1,713,888 "
50,Venezuela,28435940,9953,30,Contact Us,"$1,681,986 "
53,Côte d'Ivoire,26378274,6726,19,Contact Us,"$1,681,615 "
26,Myanmar,54409800,8434,29,Contact Us,"$1,629,465 "
31,Uganda,45741007,5946,17,Contact Us,"$1,486,583 "
46,Mozambique,31255435,5939,18,Contact Us,"$1,484,633 "
81,Belgium,11589623,5679,42,Contact Us,"$1,419,729 "
48,Yemen,29825964,5667,20,Contact Us,"$1,416,733 "
67,Ecuador,17643054,5558,28,Contact Us,"$1,389,391 "
64,Kazakhstan,18776707,5445,31,Contact Us,"$1,361,311 "
51,Madagascar,27691018,5400,20,Contact Us,"$1,349,937 "
61,Romania,19237691,5290,43,Contact Us,"$1,322,591 "
68,Syria,17500658,5250,26,Contact Us,"$1,312,549 "
37,Afghanistan,38928346,4866,18,Contact Us,"$1,216,511 "
66,Guatemala,17915568,4658,23,Contact Us,"$1,164,512 "
88,Jordan,10203134,4642,24,Contact Us,"$1,160,606 "
85,Dominican Republic,10847910,4610,28,Contact Us,"$1,152,590 "
60,Mali,20250833,4455,16,Contact Us,"$1,113,796 "
91,Sweden,10099265,4444,41,Groundwork,"$1,110,919 "
87,Greece,10423054,4430,46,Contact Us,"$1,107,449 "
83,Cuba,11326616,4417,42,Contact Us,"$1,104,345 "
93,United Arab Emirates,9890402,4253,33,Groundwork,"$1,063,218 "
79,Tunisia,11818619,4137,33,Contact Us,"$1,034,129 "
65,Zambia,18383955,4136,18,Contact Us,"$1,034,097 "
70,Senegal,16743927,4102,19,Contact Us,"$1,025,566 "
80,Bolivia,11673021,4027,26,Contact Us,"$1,006,798 "
100,Israel,8655535,4025,30,Contact Us,"$1,006,206 "
86,Czech Republic (Czechia),10708981,3962,43,Contact Us,"$990,581 "
73,Somalia,15893222,3735,17,Contact Us,"$933,727 "
96,Belarus,9449323,3732,40,Contact Us,"$933,121 "
94,Hungary,9660351,3478,43,Groundwork,"$869,432 "
89,Portugal,10196709,3365,46,Contact Us,"$841,228 "
82,Haiti,11402528,3250,24,Contact Us,"$812,430 "
59,Burkina Faso,20903273,3240,18,Contact Us,"$810,002 "
101,Switzerland,8654622,3202,43,Contact Us,"$800,553 "
49,Nepal,29136808,3059,25,Contact Us,"$764,841 "
141,Puerto Rico,2860853,3000,44,Contact Us,"$750,000 "
142,Lithuania,2722289,3000,45,Contact Us,"$750,000 "
143,Namibia,2540905,3000,22,Contact Us,"$750,000 "
144,Gambia,2416668,3000,18,Contact Us,"$750,000 "
145,Botswana,2351627,3000,24,Contact Us,"$750,000 "
146,Gabon,2225734,3000,23,Contact Us,"$750,000 "
147,Lesotho,2142249,3000,24,Contact Us,"$750,000 "
148,North Macedonia,2083374,3000,39,Contact Us,"$750,000 "
149,Slovenia,2078938,3000,45,Contact Us,"$750,000 "
150,Guinea-Bissau,1968001,3000,19,Contact Us,"$750,000 "
151,Latvia,1886198,3000,44,Contact Us,"$750,000 "
152,Bahrain,1701575,3000,32,Contact Us,"$750,000 "
153,Equatorial Guinea,1402985,3000,22,Contact Us,"$750,000 "
154,Trinidad and Tobago,1399488,3000,36,Contact Us,"$750,000 "
155,Estonia,1326535,3000,42,Contact Us,"$750,000 "
156,Timor-Leste,1318445,3000,21,Contact Us,"$750,000 "
157,Mauritius,1271768,3000,37,Contact Us,"$750,000 "
158,Cyprus,1207359,3000,37,Contact Us,"$750,000 "
159,Eswatini,1160164,3000,21,Contact Us,"$750,000 "
160,Djibouti,988000,3000,27,Contact Us,"$750,000 "
161,Fiji,896445,3000,28,Contact Us,"$750,000 "
162,Réunion,895312,3000,36,Contact Us,"$750,000 "
163,Comoros,869601,3000,20,Contact Us,"$750,000 "
164,Guyana,786552,3000,27,Contact Us,"$750,000 "
165,Bhutan,771608,3000,28,Contact Us,"$750,000 "
166,Solomon Islands,686884,3000,20,Contact Us,"$750,000 "
167,Macao,649335,3000,39,Contact Us,"$750,000 "
77,Benin,12123200,2910,19,Contact Us,"$727,392 "
90,Azerbaijan,10139177,2839,32,Contact Us,"$709,742 "
74,Zimbabwe,14862924,2824,19,Groundwork,"$705,989 "
92,Honduras,9904607,2823,24,Contact Us,"$705,703 "
108,Libya,6871292,2680,29,Contact Us,"$669,951 "
109,Lebanon,6825445,2662,30,Contact Us,"$665,481 "
107,Bulgaria,6948445,2640,45,Contact Us,"$660,102 "
104,Hong Kong,7496981,2624,45,Contact Us,"$655,986 "
